there is a television in the middle of living room .	房间中间有一个电视 。
they will spend a lot of money on new buildings .	他们将花很多钱在新建筑上 。
ifnecessary , we shall send a telegram home .	如果有必要的话 , 我们将发送一个电信家 。
and you fixed them up with the plasters in your firstaid kit .	你把他们固定在你第一次海底厨房里 , 把它们固定起来 。
the notsosubtle juxtaposition is inescapable .	难以置信的朱克思塔斯是不可避免的 。
he's pasturing his cattle on the top meadow .	他在顶部梅德ow上把猫走过去 。
but his teacher commented: " you are not in yet . "	但是他的老师说: " 你还不在 。 "
but this was also a year in which the chinese dream showed clearly .	但这也是一年 , 中国梦的一年 , 显然显示出来 。
i shall join the lunch on 17 october 2010 .	我将在2010年10月加入午餐 。
he can whisper mellifluous nothings in my ear .	他可以在我的耳朵里没有什么东西 。
the supply of raw material has been greatly reinforced .	原材料的供应很大程度上加强 。
this kind of walking tractor runs on diesel oil .	这种行车跟踪器在柴油上运行 。
i bought a plastic cover for a typewriter .	我买了一个塑料盖 , 用于类型的作家 。
it had the spiral structure revealed by congo red .	它有螺旋结构由刚果红色透露出来 。
because we're students we get in free of charge .	因为我们是学生 , 我们在免费电费中得到的 。
this is what psychologists dream about at night .	这是心理学家在晚上梦想的 。
let us know , let us pursue the knowledge of the lord .	让我们知道 , 让我们追求耶和华的知识 。
that he's not going to suddenly be left adrift .	那时他不会突然离开 。
to assail with stinging criticism ; excoriate .	为了保证评论的批评 ; 勇敢的 。
example: a woman is married to mr . zhao .	例如:一个女人嫁给赵先生 。
i won 100 dollars in the scratch lottery .	我赢得了100美元的投资贷款 。
is it too much to ask for a little precipitation ?	这太多要问一点沉淀吗 ?
his efforts were defeated by the forces of reaction .	他的努力受到反应力的影响 。
contact the old knowledge , revealing new lesson .	联系旧知识 , 揭露新的教训 。
and here in london , you have a lot of africans .	在伦敦 , 你有很多非洲人 。
definitely huaqing pool . it's the most famous .	无限是华庆池 , 是最著名的 。
and all my little candle flames burned out ;	我的小烛火烧了出来 ;
