there is a television in the middle of living room .	住房中间有一个电视 。
they will spend a lot of money on new buildings .	他们将花很多钱在新建筑上 。
ifnecessary , we shall send a telegram home .	必要的话 , 我们将送电报回家 。
and you fixed them up with the plasters in your firstaid kit .	你把他们固定在你第一次的厨房里 , 把它们固定起来 。
the notsosubtle juxtaposition is inescapable .	难以置信的朱克斯塔位置是不可避免的 。
he's pasturing his cattle on the top meadow .	他过去了他的牛 。
but his teacher commented: " you are not in yet . "	但他的老师评论: " 你还不在 。 "
but this was also a year in which the chinese dream showed clearly .	但这也是中国梦的一年 。
i shall join the lunch on 17 october 2010 .	2010年10月17日 , 我将加入午餐 。
he can whisper mellifluous nothings in my ear .	他可以在我的耳朵里无什么样子 。
the supply of raw material has been greatly reinforced .	原材料的供应大大增强 。
this kind of walking tractor runs on diesel oil .	这种行走牵引器运行在柴油油上 。
i bought a plastic cover for a typewriter .	我买了一个塑料盖 , 用于一个类型的作家 。
it had the spiral structure revealed by congo red .	它有刚果红色的螺旋结构 。
because we're students we get in free of charge .	因为我们是学生 , 我们免费收费 。
this is what psychologists dream about at night .	这是什么心理学家梦想在晚上 。
let us know , let us pursue the knowledge of the lord .	让我们知道 , 让我们追求耶和华的知识 。
that he's not going to suddenly be left adrift .	那时他不会突然被离开 。
to assail with stinging criticism ; excoriate .	为了评价批评 ; 愤怒 。
example: a woman is married to mr . zhao .	例如:一个女人嫁给赵先生 。
i won 100 dollars in the scratch lottery .	我赢得了100美元的钱 。
is it too much to ask for a little precipitation ?	这太多 , 请问一点沉淀吗 ?
his efforts were defeated by the forces of reaction .	他的努力被反应力的力量击败 。
contact the old knowledge , revealing new lesson .	联系老知识 , 揭示新课 。
and here in london , you have a lot of africans .	在伦敦 , 你有很多非洲人 。
definitely huaqing pool . it's the most famous .	一定是华清池 。 这是最著名的 。
and all my little candle flames burned out ;	我的小蜡烛燃烧了 ;
i've called it 'wikiwiki . '	我已经称之为 " 维基维基 。 "
sickness is suffering , death is suffering ;	病人遭受 , 死亡正在遭受 ;
indicate the operating sound level for each valve .	表示每个阀门的操作声级 。
the children were marshalled into straight lines .	孩子们被划成直线 。
b:here is viewing fish at rower harbor .	布:这里的地方正在看鱼 。
at a party in paris after violetta's return .	在巴黎的一次聚会后 , 维罗拉塔返回 。
some of you have come fresh from narrow jail cells .	有些人来自狭窄的监狱细胞 。
salma asks her husband when the couple get home .	当夫妇回家时 , 沙玛问她丈夫 。
i take a deep inhale , depressed at the freshness .	我采取深入的吸入 , 抑郁在新鲜 。
